the_geom,name,cartodb_id,created_at,updated_at
0106000020E61000000100000001030000000100000006000000283D09F8BBB25A40C05AB63B4F9918C01B1A788B7EB25A40ECD076B4B69218C01620AB7C3CB35A40C5A4FFD9769118C021A40A9343B35A4053438410F99718C02CF8D2ABC9B25A401BFC0869FD9818C0283D09F8BBB25A40C05AB63B4F9918C0,ANGKE,2,2015-01-10 14:29:58.366572+00,2015-01-10 14:29:58.366572+00
0106000020E61000000100000001030000000100000007000000B4786FA7A5B65A402FAB9B4646CC18C03C871E6565B65A40490658F2F1C718C024D2613335B65A40C40B13658AC218C02363C7DA7FB65A40EEDCAE0EDEBF18C053204339BEB65A40B2F00E98CEC418C0E9F0B4B9F1B65A40E85B592B05C918C0B4786FA7A5B65A402FAB9B4646CC18C0,PASEBAN,172,2015-01-10 14:29:58.366572+00,2015-01-10 14:29:58.366572+00
0106000020E61000000100000001030000000100000008000000D3A69F4C48B35A407E9C7670B29D18C021A40A9343B35A402CE000F1079818C04D45EE93AAB35A40EEFDF139309718C05F92E30CABB35A40D6475A5D989718C0352F63B8B0B35A403B1FD4A9FE9A18C0A427879A76B35A40EC58CD6A1C9B18C04DB488EC5FB35A40A6FFF98FA39D18C0D3A69F4C48B35A407E9C7670B29D18C0,KRENDANG,137,2015-01-10 14:29:58.366572+00,2015-01-10 14:29:58.366572+00
0106000020E610000001000000010300000001000000090000005F92E30CABB35A40D6475A5D989718C04D45EE93AAB35A40EEFDF139309718C0D7F2CEA7A0B35A403DCE89384A9118C0E731F871B5B35A40DC5A97B60E9118C07D026AF2E8B35A4020465207259118C03D972A71E0B35A400F625A7F1A9218C09618F5CDE2B35A400119F606EC9418C02F05FFABEDB35A4099654BA6C09618C05F92E30CABB35A40D6475A5D989718C0,TAMBORA,240,2015-01-10 14:29:58.366572+00,2015-01-10 14:29:58.366572+00
0106000020E6100000010000000103000000010000001800000027C015CA2ABB5A40495DBE103AE818C029CEE17816BB5A40C4EACF3938EB18C0B16DF6DD20BB5A4022B99DEC5FEF18C05C08C4DEF5BA5A402CE5334CE0F818C0C7E44F63E4BA5A40D4DE742E0EFB18C0F0390409F3BA5A4084AA5565C9FD18C0779BB5C190BA5A401D2EB7494FFE18C00820F8E66BBA5A406DF4BD8831FE18C034F212941BBA5A40958E4DEDD3FC18C0CBD050C33ABA5A40BBC455874BF818C024521B203DBA5A407D5AF0190EEF18C05C47C7392ABA5A40CD20F758F0EE18C0F178076427BA5A409C874C1A47EB18C0C2BB8B05E9B95A4014B1D6781AEB18C0BBF2F5A2EFB95A40043BF77A72E918C0FF79CD81CFB95A40590AAA5393E818C00EAB2A9DF8B95A404B02E3DF4DE418C067CB265031BA5A40B850215055E418C0E2D80FF048BA5A40FA04D05BBAE518C0571D632D67BA5A40F5FB23C27BE618C0EDEDD4AD9ABA5A4052429BBE3DE218C099576B0227BB5A40088540199AE118C0D9C2AA832FBB5A40BBB4A81A80E718C027C015CA2ABB5A40495DBE103AE818C0,DUREN SAWIT,47,2015-01-10 14:29:58.366572+00,2015-01-10 14:29:58.366572+00
0106000020E610000001000000010300000001000000070000001BDB74304AB35A409D88356C02A118C0098E7FB749B35A406578C609B8A018C040B3C2CEB7B35A40F457E84423A018C040B3C2CEB7B35A404042BE6F40A518C0290CD24B73B35A4095DA6403B0A518C0A8431FF84DB35A408564850508A418C01BDB74304AB35A409D88356C02A118C0,DURI SELATAN,52,2015-01-10 14:29:58.366572+00,2015-01-10 14:29:58.366572+00
0106000020E6100000010000000103000000010000000A0000003EE6ACB19FB85A4086347EBFA57118C05CE7983E28B95A402B932B92F77118C0499AA3C527B95A408A98058AD07418C06E348EB728B95A402C528E8D0E7918C0D239B82A32B95A4075973FE9178218C035017FF1CEB85A40A2CC625D968218C082FEE937CAB85A407F728BD7E38118C0DAE0823E96B85A405F18B451318118C008FFCC469EB85A40100163A19A7718C03EE6ACB19FB85A4086347EBFA57118C0,KEBON BAWANG,109,2015-01-10 14:29:58.366572+00,2015-01-10 14:29:58.366572+00
0106000020E61000000100000001030000000100000008000000CDDC693B87B45A404CDC6C5923AC18C06BE50B7769B45A4034EFC837DAAD18C0A19C54E4E9B35A40E3F1B5B346AF18C09618F5CDE2B35A40BA98C3538DA918C0481B8A87E7B35A4061D3A13AA4A418C097C5F2D204B45A40B299A87986A418C0B319E15A6BB45A40EBE0232182A318C0CDDC693B87B45A404CDC6C5923AC18C0,PETOJO UTARA,189,2015-01-10 14:29:58.366572+00,2015-01-10 14:29:58.366572+00
0106000020E61000000100000001030000000100000009000000FB1C7F9224B55A40CC1ADBAB5CD818C0FE99E599C5B45A40FA860A658CD718C0CF7B9B91BDB45A40A3B7578C6BD818C0087F135A96B45A4017464EDB62D618C04221BD78A5B45A40E3481CD28ECF18C09BA287D5A7B45A400BAC9FF17FCF18C03420F75AFDB45A4076C3D11CD6D018C0DE4B2A031DB55A40A053D0C140D518C0FB1C7F9224B55A40CC1ADBAB5CD818C0,SETIABUDI,226,2015-01-10 14:29:58.366572+00,2015-01-10 14:29:58.366572+00
0106000020E610000001000000010300000001000000080000000A8DDF0882B45A40F39885490C9918C00147E39EE7B45A402CE000F1079818C042B22220F0B45A401F979C78D99A18C0F4B4B7D9F4B45A40B2D0B4BE37A318C045CEBA7DC7B45A402FCCDE7198A318C0358F91B3B2B45A40147BB38524A218C0C04A3E7694B45A4061143F3F8D9D18C00A8DDF0882B45A40F39885490C9918C0,TAMAN SARI,239,2015-01-10 14:29:58.366572+00,2015-01-10 14:29:58.366572+00
